compound,solvent,lambda_max
OC1=C(C(=O)NN=CC2=C(NC3=CC=CC=C23)C)C=CC=C1,CO,315.0,schiff
CC1=CC=C(C(=O)NN=CC2=C(NC3=CC=CC=C23)C)C=C1,CO,334.0,schiff
BrC1=CC=C(C(=O)NN=CC2=C(NC3=CC=CC=C23)C)C=C1,CO,338.0,schiff
OC1=CC=C(C=C1)C=NNC(CCCCCCCC)=O,CO,334.0,schiff
ClC1=CC=C(C(=O)NN=CC2=C(NC3=CC=CC=C23)C)C=C1,CO,339.0,schiff
BrC1=CC=C(C(=O)NN=CC2=CC=C(C=C2)O)C=C1,CO,334.0,schiff
FC1=CC=C(C(=O)NN=CC2=C(C(=CC=C2)OC)O)C=C1,CO,304.0,schiff
O=C1NC2=CC=CC=C2C1=NN=CC1=C(C=CC=C1)O,CO,334.0,schiff
O=C1NC2=CC=CC=C2C1=NN=CC1=CC=C(C=C1)F,CO,331.0,schiff
O=C1NC2=CC=CC=C2C1=NN=CC1=C(C=CC=C1)F,CO,331.0,schiff
O=C1NC2=CC=CC=C2C1=NN=CC1=C(C(=CC=C1)OC)O,CO,346.0,schiff
C1(=CC=CC=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,326.0,schiff
ClC1=C(C=CC=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,326.0,schiff
ClC=1C=C(C=CC1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,409.0,schiff
ClC1=CC=C(C=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
BrC=1C=C(C=CC1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
BrC1=CC=C(C=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,427.0,schiff
IC1=CC=C(C=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
ClC=1C=C(C=CC1Cl)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
COC1=C(C=CC=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
COC=1C=C(C=CC1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,326.0,schiff
COC1=CC=C(C=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,328.0,schiff
CC1=C(C=CC=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,326.0,schiff
CC=1C=C(C=CC1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,409.0,schiff
CC1=CC=C(C=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
CC1=C(C(=CC=C1)C)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,400.0,schiff
CC1=C(C=C(C=C1)C)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
BrC1=C(C=CC=C1)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,326.0,schiff
COC=1C=C(C=CC1C)N=C1C(NC2=CC=CC=C12)=O,CC(=O)C,327.0,schiff
Oc1ccc(cc1)C2(OS(=O)(=O)c3ccccc23)c4ccc(O)cc4,O,428.0,indicator
